0,1,2,3,4,5,6
29.248,80.886,18.491999999999997,4.672000000000001,100.31,4.07,241.38
28.1,85.864,18.92,8.693999999999999,100.384,2.416,132.026
28.866000000000003,83.94,17.054000000000002,2.348,100.41,2.8080000000000003,205.712
27.78,78.56,17.516000000000002,6.772,100.43,2.47,240.31
28.624000000000002,76.75,18.65,1.8,100.374,2.8379999999999996,224.08599999999996
29.67,71.5,17.88,2.512,100.462,3.2700000000000005,160.72599999999997
28.4,79.25,18.652,3.7960000000000003,100.34,2.284,219.526
28.22,77.69,18.284,4.47,100.274,3.94,188.476
28.133999999999997,79.238,18.786,1.39,100.28,2.65,251.44
26.168,68.5,17.21,0.12,100.31,3.36,248.5
26.198,76.514,17.786,1.0,100.282,3.002,235.69
29.67,68.826,17.52,2.134,100.434,3.6700000000000004,131.902
26.648000000000003,86.3,19.668,0.52,100.314,2.47,188.26399999999998
28.25,82.31,18.518,4.215999999999999,100.274,2.66,216.66199999999998
28.6,76.064,16.944,3.0420000000000003,100.484,3.37,220.5
29.17,77.286,18.07,4.428,100.398,3.64,224.038
28.36,77.5,17.357999999999997,3.772,100.38600000000001,4.37,242.0
27.336000000000002,85.412,18.663999999999998,12.838000000000003,100.22,3.01,250.75
27.574,91.62,18.25,4.962000000000001,100.386,3.28,194.536
